"Модуль","Название","Описание","Тип драйвера","Режим запуска","Состояние","Статус","Разрешить остановку","Разрешить паузу","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Дата ссылки","Path","Init(bytes)"
"1394ohci","1394 OHCI-совместимый хост-контроллер","1394 OHCI-совместимый хост-контроллер","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","229 376","0","","C:\WINDOWS\system32\drivers\1394ohci.sys","4 096"
"3ware","3ware","3ware","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","81 920","0","19.05.2015 1:28:03","C:\WINDOWS\system32\drivers\3ware.sys","4 096"
"ACPI","Драйвер Microsoft ACPI","Драйвер Microsoft ACPI","Kernel ","Boot","Running","OK","TRUE","FALSE","184 320","466 944","0","","C:\WINDOWS\system32\drivers\ACPI.sys","24 576"
"AcpiAudioCompositorInbox","Драйвер компоновщика звука ACPI","Драйвер компоновщика звука ACPI","Kernel ","Manual","Stopped","OK","FALSE","FALSE","45 056","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\acpiaudiocompositor.inf_amd64_047f553a6f70b169\AcpiAudioCompositor.sys","4 096"
"AcpiDev","Драйвер устройств с ACPI","Драйвер устройств с ACPI","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","16 384","0","","C:\WINDOWS\system32\drivers\AcpiDev.sys","4 096"
"acpiex","Microsoft ACPIEx Driver","Microsoft ACPIEx Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","49 152","73 728","0","","C:\WINDOWS\system32\Drivers\acpiex.sys","4 096"
"acpipagr","Драйвер агрегатора процессора ACPI","Драйвер агрегатора процессора ACPI","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","8 192","0","","C:\WINDOWS\system32\DriverStore\FileRepository\acpipagr.inf_amd64_d1093347a27ff89c\acpipagr.sys","4 096"
"AcpiPmi","Драйвер устройства измерения мощности ACPI","Драйвер устройства измерения мощности ACPI","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","8 192","0","","C:\WINDOWS\system32\DriverStore\FileRepository\acpipmi.inf_amd64_3ced06eb61dcc792\acpipmi.sys","4 096"
"acpitime","Драйвер ACPI Wake Alarm","Драйвер ACPI Wake Alarm","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","12 288","0","","C:\WINDOWS\system32\drivers\acpitime.sys","4 096"
"Acx01000","Acx01000","Acx01000","Kernel ","Manual","Stopped","OK","FALSE","FALSE","507 904","139 264","0","","C:\WINDOWS\system32\drivers\Acx01000.sys","4 096"
"ADP80XX","ADP80XX","ADP80XX","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","1 101 824","0","09.04.2015 23:49:48","C:\WINDOWS\system32\drivers\ADP80XX.SYS","4 096"
"AFD","Драйвер дополнительных функций для Winsock","Драйвер дополнительных функций для Winsock","Kernel ","System","Running","OK","TRUE","FALSE","12 288","487 424","0","","C:\WINDOWS\system32\drivers\afd.sys","4 096"
"afunix","afunix","afunix","Kernel ","System","Running","OK","TRUE","FALSE","28 672","16 384","0","","C:\WINDOWS\system32\drivers\afunix.sys","4 096"
"ahcache","Application Compatibility Cache","Application Compatibility Cache","Kernel ","System","Running","OK","TRUE","FALSE","208 896","36 864","0","","C:\WINDOWS\system32\DRIVERS\ahcache.sys","4 096"
"amdgpio2","Драйвер GPIO-клиента AMD","Драйвер GPIO-клиента AMD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","07.02.2019 12:32:20","C:\WINDOWS\system32\drivers\amdgpio2.sys","4 096"
"amdi2c","Служба контроллера I2C AMD","Служба контроллера I2C AMD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","36 864","0","20.03.2019 7:57:33","C:\WINDOWS\system32\drivers\amdi2c.sys","4 096"
"AmdK8","AMD K8 драйвер процессора","AMD K8 драйвер процессора","Kernel ","Manual","Stopped","OK","FALSE","FALSE","122 880","57 344","0","","C:\WINDOWS\system32\drivers\amdk8.sys","12 288"
"AmdPPM","Драйвер процессора AMD","Драйвер процессора AMD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","131 072","61 440","0","","C:\WINDOWS\system32\drivers\amdppm.sys","12 288"
"amdsata","amdsata","amdsata","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","61 440","0","14.05.2015 15:14:52","C:\WINDOWS\system32\drivers\amdsata.sys","4 096"
"amdsbs","amdsbs","amdsbs","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","229 376","0","12.12.2012 0:21:44","C:\WINDOWS\system32\drivers\amdsbs.sys","4 096"
"amdwps","Драйвер для планирования профилирования рабочей нагрузки AMD","Драйвер для планирования профилирования рабочей нагрузки AMD","Kernel ","Boot","Running","OK","TRUE","FALSE","8 192","12 288","0","","C:\WINDOWS\system32\drivers\amdwps.sys","4 096"
